year,month,arr_flights,arr_del15,delay_rate
2018,1,5099.0,1004.0,0.1969013532065111
2018,2,4665.0,821.0,0.1759914255091104
2018,3,5443.0,1019.0,0.18721293404372588
2018,4,5683.0,1129.0,0.1986626781629421
2018,5,5924.0,1264.0,0.21336934503713706
2018,6,5854.0,1349.0,0.23044072429108303
2018,7,5847.0,1464.0,0.2503848127244741
2018,8,6023.0,1557.0,0.2585090486468537
2018,9,5497.0,997.0,0.18137165726760052
2018,10,5861.0,952.0,0.16242961951885343
2018,11,5555.0,1165.0,0.20972097209720972
2018,12,5551.0,1082.0,0.19491983426409656
